267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
267424; VERAPAMIL CLORIDRATO; VERAPAMIL CLORIDRATO; NOT FOUND; 2.5 MG/ML. SOLUCAO INJETAVEL; AMPOLA; 2.00 ML
