504103902117417, MAX PAX, MAX PAX, NOT FOUND, COM 2 MG CX CT BL X 20 COM - 2MG, BS2
504112309156416, MEDROGEST, MEDROGEST, NOT FOUND, 150 MG/ML SUS INJ CT 25 FA VD INC X 1 ML ( EMB HOSP), BS2
504112306157411, MEDROGEST, MEDROGEST, NOT FOUND, 150 MG/ML SUS INJ CT AMP VD INC X 1 ML, BS2
504112310154413, MEDROGEST, MEDROGEST, NOT FOUND, 150 MG/ML SUS INJ CT AMP VD INC X 3.3 ML, BS2
504112303158417, MEDROGEST, MEDROGEST, NOT FOUND, 150 MG/ML SUS INJ CT FA VD INC X 1 ML, BS2
504112308151410, MEDROGEST, MEDROGEST, NOT FOUND, 150 MG/ML SUS INJ CT FA VD INC X 1 ML + SER DESC, BS2
504112305150413, MEDROGEST, MEDROGEST, NOT FOUND, 150 MG/ML SUS INJ CT FA VD INC X 3.3 ML, BS2
504112304154415, MEDROGEST, MEDROGEST, NOT FOUND, 150 MG/ML SUS INJ CT SER PREENCH X 1 ML, BS2
504112307153411, MEDROGEST, MEDROGEST, NOT FOUND, 150MG/ML SUS INJ CT 25 AMP VD INC X 1 ML ( EMB HOSP), BS2
504112302151419, MEDROGEST, MEDROGEST, NOT FOUND, 50 MG/ML SUS INJ CT AMP VD INC X 1 ML, BS2
504112301155410, MEDROGEST, MEDROGEST, NOT FOUND, 50 MG/ML SUS INJ CT FA VD INC X 1 ML, BS2
504110201110419, MINIGIN, MINIGIN, NOT FOUND, 0.15 MG + 0.03 MG COM 10 CT EST CAL X 21, BS2
504110202117417, MINIGIN, MINIGIN, NOT FOUND, 0.15 MG + 0.03 MG COM 3 CT EST CAL X 21, BS2
504110203113415, MINIGIN, MINIGIN, NOT FOUND, 0.15 MG + 0.03 MG COM 50 CT EST CAL X 21, BS2
504110204111416, MINIGIN, MINIGIN, NOT FOUND, 0.15 MG + 0.03 MG COM CT EST CAL X 21, BS2
504109702111414, MIODON, MIODON, NOT FOUND, 100 MG COM REV CT 2 BL AL PLAS INC X 15, BS2
504109703116411, MIODON, MIODON, NOT FOUND, 200MG COM REV CT 2 BL AL PLAS IN X 15, BS2
504109701156414, MIODON, MIODON, NOT FOUND, 50 MG/ML SOL INJ CT 50 AMP VD AMB X 3 ML, BS2
504104001164413, MYCEL GYNO, MYCEL GYNO, NOT FOUND, CREM VAG CT BG 40G + APL, BS2
504103902117417, MAX PAX, MAX PAX, NOT FOUND, COM 2 MG CX CT BL X 20 COM - 2MG, BS2
504112309156416, MEDROGEST, MEDROGEST, NOT FOUND, 150 MG/ML SUS INJ CT 25 FA VD INC X 1 ML ( EMB HOSP), BS2
504112306157411, MEDROGEST, MEDROGEST, NOT FOUND, 150 MG/ML SUS INJ CT AMP VD INC X 1 ML, BS2
504112310154413, MEDROGEST, MEDROGEST, NOT FOUND, 150 MG/ML SUS INJ CT AMP VD INC X 3.3 ML, BS2
504112303158417, MEDROGEST, MEDROGEST, NOT FOUND, 150 MG/ML SUS INJ CT FA VD INC X 1 ML, BS2
504112308151410, MEDROGEST, MEDROGEST, NOT FOUND, 150 MG/ML SUS INJ CT FA VD INC X 1 ML + SER DESC, BS2
